Optimizer,learning_rate,epoch,loss
Adamax,1.00e-01,1,6659837
Adamax,1.00e-01,2,4009704
Adamax,1.00e-01,3,2702432
Adamax,1.00e-01,4,2611822
Adamax,1.00e-01,5,1805664
Adamax,1.00e-01,6,1705669
Adamax,1.00e-01,7,1371519
Adamax,1.00e-01,8,1304733
Adamax,1.00e-01,9,1217232
Adamax,1.00e-01,10,1210140
Adamax,1.00e-01,11,1214231
Adamax,1.00e-01,12,1215374
Adamax,1.00e-01,13,1206915
Adamax,1.00e-01,14,1193457
Adamax,1.00e-01,15,1183473
Adamax,1.00e-01,16,1161296
Adamax,1.00e-01,17,1165328
Adamax,1.00e-01,18,1147213
Adamax,1.00e-01,19,1155915
Adamax,1.00e-01,20,1136438
Adamax,1.00e-01,21,1147643
Adamax,1.00e-01,22,1128955
Adamax,1.00e-01,23,1141798
Adamax,1.00e-01,24,1122910
Adamax,1.00e-01,25,1137416
Adamax,1.00e-01,26,1119241
Adamax,1.00e-01,27,1133388
Adamax,1.00e-01,28,1115961
Adamax,1.00e-01,29,1129951
Adamax,1.00e-01,30,1113276
Adamax,1.00e-01,31,1127202
Adamax,1.00e-01,32,1111392
Adamax,1.00e-01,33,1125309
Adamax,1.00e-01,34,1110093
Adamax,1.00e-01,35,1123738
Adamax,1.00e-01,36,1109087
Adamax,1.00e-01,37,1122268
Adamax,1.00e-01,38,1108139
Adamax,1.00e-01,39,1120901
Adamax,1.00e-01,40,1107356
Adamax,1.00e-01,41,1119693
Adamax,1.00e-01,42,1106623
Adamax,1.00e-01,43,1118444
Adamax,1.00e-01,44,1105641
Adamax,1.00e-01,45,1117348
Adamax,1.00e-01,46,1104897
Adamax,1.00e-01,47,1116369
Adamax,1.00e-01,48,1104152
Adamax,1.00e-01,49,1115419
Adamax,1.00e-01,50,1103368
Adamax,1.00e-01,51,1114631
Adamax,1.00e-01,52,1102609
Adamax,1.00e-01,53,1113725
Adamax,1.00e-01,54,1101732
Adamax,1.00e-01,55,1112791
Adamax,1.00e-01,56,1100957
Adamax,1.00e-01,57,1111857
Adamax,1.00e-01,58,1100144
Adamax,1.00e-01,59,1110923
Adamax,1.00e-01,60,1099346
Adamax,1.00e-01,61,1109958
Adamax,1.00e-01,62,1098489
Adamax,1.00e-01,63,1108969
Adamax,1.00e-01,64,1097587
Adamax,1.00e-01,65,1107992
Adamax,1.00e-01,66,1096609
Adamax,1.00e-01,67,1106951
Adamax,1.00e-01,68,1095643
Adamax,1.00e-01,69,1105896
Adamax,1.00e-01,70,1094592
Adamax,1.00e-01,71,1104787
Adamax,1.00e-01,72,1093502
Adamax,1.00e-01,73,1103656
Adamax,1.00e-01,74,1092367
Adamax,1.00e-01,75,1102470
Adamax,1.00e-01,76,1091138
Adamax,1.00e-01,77,1101197
Adamax,1.00e-01,78,1089833
Adamax,1.00e-01,79,1099881
Adamax,1.00e-01,80,1088510
Adamax,1.00e-01,81,1098525
Adamax,1.00e-01,82,1087012
Adamax,1.00e-01,83,1097105
Adamax,1.00e-01,84,1085472
Adamax,1.00e-01,85,1095627
Adamax,1.00e-01,86,1083867
Adamax,1.00e-01,87,1094052
Adamax,1.00e-01,88,1082217
Adamax,1.00e-01,89,1092402
Adamax,1.00e-01,90,1080450
Adamax,1.00e-01,91,1090680
Adamax,1.00e-01,92,1078585
Adamax,1.00e-01,93,1088878
Adamax,1.00e-01,94,1076613
Adamax,1.00e-01,95,1087001
Adamax,1.00e-01,96,1074522
Adamax,1.00e-01,97,1084951
Adamax,1.00e-01,98,1072290
Adamax,1.00e-01,99,1082797
Adamax,1.00e-01,100,1069953
Adamax,5.00e-02,1,6660698
Adamax,5.00e-02,2,4146332
Adamax,5.00e-02,3,2903536
Adamax,5.00e-02,4,2344229
Adamax,5.00e-02,5,2015169
Adamax,5.00e-02,6,1790122
Adamax,5.00e-02,7,1633357
Adamax,5.00e-02,8,1528731
Adamax,5.00e-02,9,1437928
Adamax,5.00e-02,10,1379326
Adamax,5.00e-02,11,1318206
Adamax,5.00e-02,12,1277961
Adamax,5.00e-02,13,1238359
Adamax,5.00e-02,14,1207913
Adamax,5.00e-02,15,1179292
Adamax,5.00e-02,16,1155970
Adamax,5.00e-02,17,1135718
Adamax,5.00e-02,18,1117612
Adamax,5.00e-02,19,1103810
Adamax,5.00e-02,20,1089482
Adamax,5.00e-02,21,1080786
Adamax,5.00e-02,22,1069723
Adamax,5.00e-02,23,1064385
Adamax,5.00e-02,24,1055408
Adamax,5.00e-02,25,1052219
Adamax,5.00e-02,26,1044995
Adamax,5.00e-02,27,1043178
Adamax,5.00e-02,28,1037569
Adamax,5.00e-02,29,1036434
Adamax,5.00e-02,30,1031669
Adamax,5.00e-02,31,1031552
Adamax,5.00e-02,32,1027069
Adamax,5.00e-02,33,1027772
Adamax,5.00e-02,34,1024148
Adamax,5.00e-02,35,1025198
Adamax,5.00e-02,36,1021591
Adamax,5.00e-02,37,1022678
Adamax,5.00e-02,38,1019179
Adamax,5.00e-02,39,1020187
Adamax,5.00e-02,40,1016714
Adamax,5.00e-02,41,1017645
Adamax,5.00e-02,42,1014069
Adamax,5.00e-02,43,1015026
Adamax,5.00e-02,44,1011287
Adamax,5.00e-02,45,1012150
Adamax,5.00e-02,46,1008359
Adamax,5.00e-02,47,1009062
Adamax,5.00e-02,48,1005025
Adamax,5.00e-02,49,1005646
Adamax,5.00e-02,50,1001420
Adamax,5.00e-02,51,1001856
Adamax,5.00e-02,52,997434
Adamax,5.00e-02,53,997777
Adamax,5.00e-02,54,993162
Adamax,5.00e-02,55,993272
Adamax,5.00e-02,56,988469
Adamax,5.00e-02,57,988577
Adamax,5.00e-02,58,983560
Adamax,5.00e-02,59,983352
Adamax,5.00e-02,60,978159
Adamax,5.00e-02,61,977727
Adamax,5.00e-02,62,972432
Adamax,5.00e-02,63,971747
Adamax,5.00e-02,64,966368
Adamax,5.00e-02,65,965354
Adamax,5.00e-02,66,959934
Adamax,5.00e-02,67,958556
Adamax,5.00e-02,68,953076
Adamax,5.00e-02,69,951357
Adamax,5.00e-02,70,945997
Adamax,5.00e-02,71,943859
Adamax,5.00e-02,72,938534
Adamax,5.00e-02,73,936054
Adamax,5.00e-02,74,930786
Adamax,5.00e-02,75,928004
Adamax,5.00e-02,76,922818
Adamax,5.00e-02,77,919689
Adamax,5.00e-02,78,914529
Adamax,5.00e-02,79,911133
Adamax,5.00e-02,80,906139
Adamax,5.00e-02,81,902450
Adamax,5.00e-02,82,897572
Adamax,5.00e-02,83,893593
Adamax,5.00e-02,84,888851
Adamax,5.00e-02,85,884688
Adamax,5.00e-02,86,880036
Adamax,5.00e-02,87,875684
Adamax,5.00e-02,88,871172
Adamax,5.00e-02,89,866689
Adamax,5.00e-02,90,862358
Adamax,5.00e-02,91,857662
Adamax,5.00e-02,92,853484
Adamax,5.00e-02,93,848662
Adamax,5.00e-02,94,844541
Adamax,5.00e-02,95,839631
Adamax,5.00e-02,96,835636
Adamax,5.00e-02,97,830592
Adamax,5.00e-02,98,826608
Adamax,5.00e-02,99,821550
Adamax,5.00e-02,100,817655
